biotype	n	sample
snRNA	6	ERR753372_chr5
misc_RNA	5	ERR753372_chr5
unitary_pseudogene	5	ERR753372_chr5
snoRNA	3	ERR753372_chr5
transcribed_processed_pseudogene	3	ERR753372_chr5
protein_coding	1735	ERR753373_chr5
retained_intron	622	ERR753373_chr5
nonsense_mediated_decay	468	ERR753373_chr5
lncRNA	258	ERR753373_chr5
protein_coding_CDS_not_defined	258	ERR753373_chr5
processed_pseudogene	45	ERR753373_chr5
enhancer	36	ERR753373_chr5
processed_transcript	35	ERR753373_chr5
promoter	15	ERR753373_chr5
CTCF_binding_site	6	ERR753373_chr5
snRNA	6	ERR753373_chr5
transcribed_unitary_pseudogene	6	ERR753373_chr5
TF_binding_site	5	ERR753373_chr5
transcribed_unprocessed_pseudogene	5	ERR753373_chr5
TEC	3	ERR753373_chr5
open_chromatin_region	3	ERR753373_chr5
miRNA	2	ERR753373_chr5
misc_RNA	2	ERR753373_chr5
unitary_pseudogene	2	ERR753373_chr5
snoRNA	1	ERR753373_chr5
unprocessed_pseudogene	1	ERR753373_chr5
protein_coding	394	ERR753374_chr5
retained_intron	157	ERR753374_chr5
nonsense_mediated_decay	118	ERR753374_chr5
protein_coding_CDS_not_defined	68	ERR753374_chr5
lncRNA	33	ERR753374_chr5
processed_transcript	24	ERR753374_chr5
CTCF_binding_site	6	ERR753374_chr5
enhancer	6	ERR753374_chr5
processed_pseudogene	5	ERR753374_chr5
transcribed_unitary_pseudogene	4	ERR753374_chr5
TF_binding_site	3	ERR753374_chr5
promoter	2	ERR753374_chr5
open_chromatin_region	1	ERR753374_chr5
protein_coding	2248	ERR753375_chr5
retained_intron	788	ERR753375_chr5
nonsense_mediated_decay	615	ERR753375_chr5
protein_coding_CDS_not_defined	363	ERR753375_chr5
lncRNA	340	ERR753375_chr5
processed_pseudogene	105	ERR753375_chr5
enhancer	62	ERR753375_chr5
promoter	40	ERR753375_chr5
processed_transcript	24	ERR753375_chr5
CTCF_binding_site	13	ERR753375_chr5
snRNA	9	ERR753375_chr5
transcribed_unprocessed_pseudogene	9	ERR753375_chr5
open_chromatin_region	7	ERR753375_chr5
TF_binding_site	5	ERR753375_chr5
miRNA	5	ERR753375_chr5
misc_RNA	5	ERR753375_chr5
transcribed_unitary_pseudogene	4	ERR753375_chr5
unprocessed_pseudogene	4	ERR753375_chr5
TEC	3	ERR753375_chr5
transcribed_processed_pseudogene	3	ERR753375_chr5
translated_processed_pseudogene	2	ERR753375_chr5
unitary_pseudogene	2	ERR753375_chr5
snoRNA	1	ERR753375_chr5
protein_coding	2656	ERR753376_chr5
retained_intron	809	ERR753376_chr5
nonsense_mediated_decay	562	ERR753376_chr5
lncRNA	452	ERR753376_chr5
protein_coding_CDS_not_defined	433	ERR753376_chr5
processed_pseudogene	111	ERR753376_chr5
enhancer	66	ERR753376_chr5
promoter	31	ERR753376_chr5
processed_transcript	24	ERR753376_chr5
CTCF_binding_site	15	ERR753376_chr5
open_chromatin_region	11	ERR753376_chr5
misc_RNA	9	ERR753376_chr5
transcribed_unprocessed_pseudogene	9	ERR753376_chr5
snRNA	8	ERR753376_chr5
TF_binding_site	7	ERR753376_chr5
transcribed_unitary_pseudogene	4	ERR753376_chr5
unprocessed_pseudogene	4	ERR753376_chr5
miRNA	3	ERR753376_chr5
snoRNA	3	ERR753376_chr5
unitary_pseudogene	3	ERR753376_chr5
TEC	1	ERR753376_chr5
transcribed_processed_pseudogene	1	ERR753376_chr5
protein_coding	3066	ERR753377_chr5
retained_intron	1009	ERR753377_chr5
nonsense_mediated_decay	770	ERR753377_chr5
lncRNA	513	ERR753377_chr5
protein_coding_CDS_not_defined	463	ERR753377_chr5
processed_pseudogene	124	ERR753377_chr5
enhancer	77	ERR753377_chr5
promoter	45	ERR753377_chr5
processed_transcript	44	ERR753377_chr5
CTCF_binding_site	17	ERR753377_chr5
snRNA	12	ERR753377_chr5
transcribed_unprocessed_pseudogene	11	ERR753377_chr5
unprocessed_pseudogene	11	ERR753377_chr5
open_chromatin_region	10	ERR753377_chr5
TF_binding_site	7	ERR753377_chr5
misc_RNA	7	ERR753377_chr5
transcribed_unitary_pseudogene	7	ERR753377_chr5
miRNA	5	ERR753377_chr5
transcribed_processed_pseudogene	4	ERR753377_chr5
TEC	3	ERR753377_chr5
snoRNA	2	ERR753377_chr5
translated_processed_pseudogene	2	ERR753377_chr5
unitary_pseudogene	1	ERR753377_chr5
protein_coding	4578	ERR753378_chr5
retained_intron	1456	ERR753378_chr5
nonsense_mediated_decay	1151	ERR753378_chr5
protein_coding_CDS_not_defined	706	ERR753378_chr5
lncRNA	565	ERR753378_chr5
enhancer	109	ERR753378_chr5
promoter	103	ERR753378_chr5
processed_pseudogene	46	ERR753378_chr5
CTCF_binding_site	37	ERR753378_chr5
transcribed_unprocessed_pseudogene	17	ERR753378_chr5
miRNA	16	ERR753378_chr5
open_chromatin_region	13	ERR753378_chr5
TF_binding_site	8	ERR753378_chr5
misc_RNA	8	ERR753378_chr5
processed_transcript	7	ERR753378_chr5
unprocessed_pseudogene	7	ERR753378_chr5
TEC	6	ERR753378_chr5
snRNA	4	ERR753378_chr5
unitary_pseudogene	3	ERR753378_chr5
snoRNA	2	ERR753378_chr5
rRNA_pseudogene	1	ERR753378_chr5
transcribed_processed_pseudogene	1	ERR753378_chr5
transcribed_unitary_pseudogene	1	ERR753378_chr5
